Calibration data of PS1:
c1,c2,c3,c4,c5,c6,sens t1,off t1,tcs,tco,tref,temp sens
49772,50771,30142,27257,33386,27098,1.63093e+09,3.32733e+09,117.742,212.945,8.54682e+06,0.00323033
Calibration data of PS2:
c1,c2,c3,c4,c5,c6,sens t1,off t1,tcs,tco,tref,temp sens
48630,52573,29184,28445,33595,26742,1.59351e+09,3.44542e+09,114,222.227,8.60032e+06,0.00318789
