HTL state,Time GPS,Mission time,TC74-0,TC74-1,TC74-2,TC74-3,TC74-4
A1,Fri 2021-07-16 06:33:35 CEST,50.064897,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:35 CEST,50.064897,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:36 CEST,51.312146,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:36 CEST,52.561669,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:37 CEST,53.812200,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:38 CEST,55.066482,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:38 CEST,55.066482,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:38 CEST,56.312129,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:39 CEST,57.562158,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:39 CEST,58.812176,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:40 CEST,60.064716,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:40 CEST,60.064716,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:41 CEST,61.312166,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:41 CEST,62.562134,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:42 CEST,63.812172,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:43 CEST,65.063962,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:43 CEST,65.063962,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:43 CEST,66.311651,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:44 CEST,67.562151,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:44 CEST,68.812181,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:45 CEST,70.064738,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:45 CEST,70.064738,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:46 CEST,71.312705,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:46 CEST,72.562134,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:47 CEST,73.812177,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:48 CEST,75.064596,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:48 CEST,75.064596,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:48 CEST,76.312165,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:49 CEST,77.561643,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:49 CEST,78.811674,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:50 CEST,80.064813,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:50 CEST,80.064813,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:51 CEST,81.312158,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:51 CEST,82.562097,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:52 CEST,83.812135,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:53 CEST,85.064548,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:53 CEST,85.064548,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:53 CEST,86.312149,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:54 CEST,87.562130,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:54 CEST,88.812685,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:55 CEST,90.064539,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:55 CEST,90.064539,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:56 CEST,91.312160,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:56 CEST,92.562154,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:57 CEST,93.812172,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:58 CEST,95.064740,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:58 CEST,95.064740,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:58 CEST,96.312180,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:59 CEST,97.562177,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:33:59 CEST,98.812184,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:00 CEST,100.066320,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:00 CEST,100.066320,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:01 CEST,101.312157,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:01 CEST,102.562132,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:02 CEST,103.811664,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:03 CEST,105.064103,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:03 CEST,105.064103,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:03 CEST,106.312191,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:04 CEST,107.562204,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:04 CEST,108.812175,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:05 CEST,110.064789,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:05 CEST,110.064789,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:06 CEST,111.312155,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:06 CEST,112.562095,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:07 CEST,113.812168,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:08 CEST,115.064568,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:08 CEST,115.064568,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:08 CEST,116.311702,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:09 CEST,117.561616,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:09 CEST,118.812176,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:10 CEST,120.064887,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:10 CEST,120.064887,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:11 CEST,121.312150,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:11 CEST,122.562096,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:12 CEST,123.812187,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:13 CEST,125.064449,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:13 CEST,125.064449,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:13 CEST,126.312170,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:14 CEST,127.562190,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:14 CEST,128.812001,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:15 CEST,130.064449,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:15 CEST,130.064449,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:16 CEST,131.312163,17.500000,17.500000,16.500000,15.500000,16.500000
A1,Fri 2021-07-16 06:34:16 CEST,132.562117,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:17 CEST,133.812197,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:18 CEST,135.064894,17.500000,17.500000,16.500000,16.500000,16.500000
A1,Fri 2021-07-16 06:34:18 CEST,135.064894,17.500000,17.500000,16.500000,16.500000,16.500000
