Time GPS,Mission time,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,infinito Celsius,infinito Volts,infinito Vcc,exterior Celsius,exterior Volts,exterior Vcc,anemometro Celsius,anemometro Volts,anemometro Vcc
Thu 1970-01-01 01:00:00 CET,22.530152,31.247862,2.618900,4.844200,30.856689,2.616820,4.843360,28.786667,2.606860,4.840920,28.082415,2.605560,4.844000,31.236933,2.618660,4.843840,30.841946,2.616240,4.842400,261.092010,3.270180,4.843320
Thu 1970-01-01 01:00:00 CET,23.529834,31.163818,2.624540,4.855280,31.370054,2.624620,4.853840,28.467913,2.611680,4.852360,28.309500,2.610540,4.851480,31.256914,2.624560,4.854600,30.912836,2.621160,4.850960,257.923309,3.270360,4.852720
Thu 1970-01-01 01:00:00 CET,24.512271,31.407368,2.622980,4.850520,30.387663,2.619100,4.851200,28.786236,2.609680,4.846160,28.613167,2.607920,4.844240,31.235241,2.619280,4.845000,30.913977,2.618420,4.845880,258.948944,3.270420,4.849840
Thu 1970-01-01 01:00:00 CET,25.491799,31.806980,2.622540,4.846640,30.567625,2.620240,4.851920,28.190742,2.608060,4.847800,28.154787,2.607500,4.847040,31.690962,2.621020,4.844720,31.000568,2.619580,4.847360,260.728027,3.271960,4.847000
Thu 1970-01-01 01:00:00 CET,26.489751,31.343946,2.620640,4.846680,31.016392,2.620640,4.849200,28.299749,2.608540,4.847840,28.342043,2.608460,4.847360,31.118195,2.621280,4.849600,30.817411,2.618580,4.846920,259.929108,3.269520,4.845680
Thu 1970-01-01 01:00:00 CET,27.442700,31.306326,2.621500,4.848560,31.193987,2.620060,4.846760,28.823982,2.609860,4.846200,28.521683,2.608440,4.845920,31.617529,2.623680,4.850200,30.751816,2.620900,4.851720,257.613892,3.270240,4.853440
Thu 1970-01-01 01:00:00 CET,28.531190,31.680956,2.618620,4.840360,31.355400,2.617400,4.840600,28.178623,2.606180,4.844400,27.850916,2.603080,4.841200,30.889072,2.617560,4.844480,31.027689,2.617380,4.843080,261.280457,3.269680,4.842040
Thu 1970-01-01 01:00:00 CET,29.529915,31.198513,2.617960,4.842840,30.995644,2.617960,4.844400,28.367390,2.606220,4.843000,28.282341,2.605540,4.842400,31.364544,2.619060,4.843600,30.514746,2.617060,4.846440,261.037262,3.270020,4.843240
Thu 1970-01-01 01:00:00 CET,30.529727,31.242445,2.618380,4.843280,31.069864,2.617620,4.843200,28.550629,2.607700,4.844320,27.955606,2.605220,4.844360,31.533628,2.623180,4.849920,30.846500,2.621100,4.851360,258.170349,3.270600,4.852360
Thu 1970-01-01 01:00:00 CET,31.529960,31.248077,2.623680,4.853040,30.766129,2.622040,4.853720,28.458439,2.612480,4.853920,27.927559,2.610200,4.853840,31.181458,2.623100,4.852480,30.966799,2.622120,4.852320,257.378815,3.269780,4.853440
Thu 1970-01-01 01:00:00 CET,32.523210,31.628798,2.623900,4.850520,31.416912,2.623820,4.852000,28.431276,2.611440,4.852200,28.145559,2.610280,4.852280,31.627134,2.623460,4.849720,30.509607,2.620840,4.853480,258.688080,3.269480,4.849200
Thu 1970-01-01 01:00:00 CET,33.523060,31.682034,2.623580,4.849520,30.960335,2.621920,4.852000,28.378185,2.610420,4.850720,28.244846,2.610160,4.851280,31.255867,2.623280,4.852240,30.826031,2.620820,4.851000,257.521759,3.269440,4.852520
Thu 1970-01-01 01:00:00 CET,34.519555,31.793310,2.624020,4.849480,31.061028,2.621280,4.850040,28.394489,2.612060,4.853640,28.065744,2.610460,4.853240,30.969877,2.621960,4.852000,30.580708,2.621180,4.853560,257.241791,3.268380,4.851760
Thu 1970-01-01 01:00:00 CET,35.523095,31.404596,2.624980,4.854240,31.070263,2.622140,4.851560,28.761255,2.613000,4.852520,28.314791,2.611380,4.853000,31.086796,2.617820,4.843440,30.969908,2.615540,4.840120,262.664520,3.271160,4.840280
Thu 1970-01-01 01:00:00 CET,36.536994,31.338959,2.618240,4.842280,31.238903,2.617760,4.842160,28.681396,2.606720,4.841480,27.903538,2.605560,4.845400,31.167267,2.617700,4.842600,30.666122,2.616200,4.843680,262.463226,3.271340,4.841120
Thu 1970-01-01 01:00:00 CET,37.466851,31.602535,2.615720,4.835600,30.876482,2.615260,4.840320,28.853209,2.604640,4.836280,28.389259,2.602760,4.836400,31.096708,2.615440,4.838960,30.653963,2.610640,4.833480,267.784668,3.271100,4.825760
Thu 1970-01-01 01:00:00 CET,38.473173,31.209166,2.614220,4.835840,31.315224,2.619980,4.845680,28.147682,2.608180,4.848360,27.959175,2.607580,4.848720,31.010790,2.620660,4.849280,30.561747,2.617580,4.847040,259.509003,3.268920,4.846000
Thu 1970-01-01 01:00:00 CET,39.488616,31.760363,2.622520,4.846960,31.544220,2.620260,4.844440,28.650326,2.609820,4.847480,28.390766,2.608880,4.847760,31.162155,2.619560,4.846080,30.746183,2.618240,4.846840,258.232422,3.271180,4.853040
Thu 1970-01-01 01:00:00 CET,40.530678,31.408445,2.623720,4.851880,31.654600,2.624180,4.850840,28.597294,2.612160,4.852240,27.970678,2.610640,4.854320,30.786598,2.622320,4.854080,30.610687,2.620160,4.851440,257.243500,3.270000,4.854160
Thu 1970-01-01 01:00:00 CET,41.523431,31.588711,2.624880,4.852640,30.699087,2.621220,4.852720,28.741907,2.612380,4.851520,28.397934,2.610460,4.850640,31.340006,2.622700,4.850520,30.559069,2.619880,4.851320,258.876526,3.269200,4.848240
