HTL state,Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
A1,Thu 1970-01-01 01:00:00 CET,25.0427,-2408,1329,-476,-337.119995,186.059998,-66.639999,-11,-45,1355,-8.052000,-32.939999,991.859985,77,-44,41,5390.000000,-3080.000000,2870.000000,32,26.953125
A1,Thu 1970-01-01 01:00:00 CET,26.0431,-2462,1305,-456,-344.679993,182.699997,-63.840000,-10,-46,1355,-7.320000,-33.672001,991.859985,80,-47,44,5600.000000,-3290.000000,3080.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,27.0424,-2406,1334,-463,-336.839996,186.759995,-64.820000,-10,-40,1355,-7.320000,-29.279999,991.859985,83,-48,43,5810.000000,-3360.000000,3010.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,28.0444,-2455,1356,-357,-343.700012,189.839996,-49.980000,-7,-41,1357,-5.124000,-30.011999,993.323975,79,-41,41,5530.000000,-2870.000000,2870.000000,35,27.136230
A1,Thu 1970-01-01 01:00:00 CET,29.0435,-2485,1352,-365,-347.899994,189.279999,-51.099998,-12,-43,1355,-8.784000,-31.476000,991.859985,76,-44,41,5320.000000,-3080.000000,2870.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,30.0435,-2493,1367,-392,-349.019989,191.380005,-54.880001,-7,-44,1357,-5.124000,-32.208000,993.323975,78,-42,38,5460.000000,-2940.000000,2660.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,31.0439,-2463,1369,-415,-344.820007,191.660004,-58.099998,-5,-44,1356,-3.660000,-32.208000,992.591980,76,-42,43,5320.000000,-2940.000000,3010.000000,31,26.892090
A1,Thu 1970-01-01 01:00:00 CET,32.0432,-2484,1352,-330,-347.760010,189.279999,-46.200001,-8,-44,1355,-5.856000,-32.208000,991.859985,74,-43,41,5180.000000,-3010.000000,2870.000000,32,26.953125
A1,Thu 1970-01-01 01:00:00 CET,33.0438,-2472,1357,-461,-346.079987,189.979996,-64.540001,-9,-48,1355,-6.588000,-35.136002,991.859985,85,-45,42,5950.000000,-3150.000000,2940.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,34.0437,-2394,1363,-411,-335.160004,190.820007,-57.540001,-8,-43,1357,-5.856000,-31.476000,993.323975,84,-44,42,5880.000000,-3080.000000,2940.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,35.0434,-2440,1343,-519,-341.600006,188.020004,-72.660004,-9,-44,1355,-6.588000,-32.208000,991.859985,82,-42,40,5740.000000,-2940.000000,2800.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,36.0436,-2438,1330,-468,-341.320007,186.199997,-65.519997,-8,-44,1355,-5.856000,-32.208000,991.859985,73,-44,41,5110.000000,-3080.000000,2870.000000,31,26.892090
