nan,6.01093,8025584,9264624,941.36,43.18,8355312,9382640,941.39,44.93
nan,7.01105,8025584,9264496,941.35,43.18,8355440,9382512,941.42,44.93
nan,8.01134,8025584,9264496,941.35,43.18,8355440,9382640,941.43,44.93
nan,9.01113,8025712,9264368,941.37,43.17,8355312,9382512,941.39,44.93
nan,10.0134,8025840,9264496,941.41,43.18,8355184,9382640,941.36,44.93
nan,11.0112,8025456,9264496,941.31,43.18,8355312,9382640,941.39,44.93
nan,12.0114,8025712,9264624,941.39,43.18,8355056,9382768,941.34,44.94
nan,13.0112,8025712,9264624,941.39,43.18,8355568,9382640,941.46,44.93
nan,14.0109,8025456,9264624,941.32,43.18,8355568,9382768,941.47,44.94
nan,15.0116,8025328,9264624,941.29,43.18,8355056,9382896,941.35,44.94
nan,16.0108,8025456,9264624,941.32,43.18,8355184,9382896,941.38,44.94
nan,17.011,8025456,9264624,941.32,43.18,8355312,9382768,941.4,44.94
nan,18.0109,8025456,9264624,941.32,43.18,8355568,9382896,941.48,44.94
nan,19.0124,8025584,9264752,941.36,43.19,8355568,9382512,941.45,44.93
nan,20.0118,8025328,9264624,941.29,43.18,8355312,9382768,941.4,44.94
nan,21.0112,8025456,9264496,941.31,43.18,8355440,9382640,941.43,44.93
nan,22.0113,8025584,9264624,941.36,43.18,8355440,9382640,941.43,44.93
nan,23.0113,8025584,9264624,941.36,43.18,8354928,9382640,941.3,44.93
nan,24.0114,8025456,9264624,941.32,43.18,8355184,9382768,941.37,44.94
nan,25.0119,8025328,9264624,941.29,43.18,8355312,9382640,941.39,44.93
nan,26.0114,8025584,9264624,941.36,43.18,8355312,9382768,941.4,44.94
nan,27.0115,8025456,9264752,941.33,43.19,8355312,9382768,941.4,44.94
nan,28.0126,8025328,9264752,941.3,43.19,8355312,9382896,941.41,44.94
nan,29.0109,8025584,9264624,941.36,43.18,8355440,9382768,941.43,44.94
nan,30.0106,8025456,9264752,941.33,43.19,8355184,9382768,941.37,44.94
nan,31.0106,8025584,9264752,941.36,43.19,8355312,9382896,941.41,44.94
nan,32.0113,8025328,9264880,941.31,43.19,8355312,9382768,941.4,44.94
nan,33.0115,8025712,9264624,941.39,43.18,8355312,9382768,941.4,44.94
nan,34.0114,8025584,9264624,941.36,43.18,8355312,9382896,941.41,44.94
nan,35.011,8025456,9264752,941.33,43.19,8355184,9382640,941.36,44.93
nan,36.0113,8025456,9264880,941.34,43.19,8355568,9382896,941.48,44.94
nan,37.0123,8025456,9264624,941.32,43.18,8354928,9382768,941.31,44.94
nan,38.0114,8025456,9264752,941.33,43.19,8355312,9382768,941.4,44.94
nan,39.0115,8025584,9264752,941.36,43.19,8355312,9382768,941.4,44.94
nan,40.0117,8025712,9264752,941.4,43.19,8355184,9382768,941.37,44.94
nan,41.0111,8025328,9264752,941.3,43.19,8355184,9382768,941.37,44.94
nan,42.0105,8025584,9264752,941.36,43.19,8355440,9382896,941.44,44.94
nan,43.0106,8025712,9264752,941.4,43.19,8355312,9382768,941.4,44.94
nan,44.0113,8025712,9264752,941.4,43.19,8355312,9382768,941.4,44.94
Calibration data of PS1:
c1,c2,c3,c4,c5,c6,sens t1,off t1,tcs,tco,tref,temp sens
0,0,0,0,0,0,0,0,0,0,0,0
Calibration data of PS2:
c1,c2,c3,c4,c5,c6,sens t1,off t1,tcs,tco,tref,temp sens
0,0,0,0,0,0,0,0,0,0,0,0
Time GPS,Mission time,PS1 pressure mbar,PS1 temp Celsius,PS1 d1,PS1 d2,PS2 pressure mbar,PS2 temp Celsius,PS2 d1,PS2 d2
Thu 1970-01-01 01:00:00 CET,0.0132416,8025584,9265904,941.45,43.22,8355056,9384304,941.45,44.99
Thu 1970-01-01 01:00:00 CET,1.01344,8025328,9265776,941.37,43.22,8355184,9384560,941.5,45
