Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
Thu 1970-01-01 01:00:00 CET,28.0144,845,3208,277,118.300003,449.119995,38.779999,-14,-23,1344,-10.248000,-16.836000,983.807983,105,45,42,7350.000000,3150.000000,2940.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,29.0133,882,3237,334,123.480003,453.179993,46.759998,-19,-26,1339,-13.908000,-19.032000,980.148010,109,45,43,7630.000000,3150.000000,3010.000000,178,35.864258
Thu 1970-01-01 01:00:00 CET,30.0131,891,3241,270,124.739998,453.739990,37.799999,-19,-24,1348,-13.908000,-17.568001,986.735962,109,52,42,7630.000000,3640.000000,2940.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,31.0132,869,3234,331,121.660004,452.760010,46.340000,-20,-25,1349,-14.639999,-18.299999,987.468018,110,50,39,7700.000000,3500.000000,2730.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,32.0133,860,3216,248,120.400002,450.239990,34.720001,-18,-22,1346,-13.176000,-16.104000,985.271973,106,51,42,7420.000000,3570.000000,2940.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,33.0132,827,3208,334,115.779999,449.119995,46.759998,-10,-25,1349,-7.320000,-18.299999,987.468018,106,45,42,7420.000000,3150.000000,2940.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,34.0134,864,3218,349,120.959999,450.519989,48.860001,-13,-29,1345,-9.516000,-21.228001,984.539978,111,48,37,7770.000000,3360.000000,2590.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,35.0133,876,3222,306,122.639999,451.080017,42.840000,-10,-23,1345,-7.320000,-16.836000,984.539978,110,50,44,7700.000000,3500.000000,3080.000000,178,35.864258
Thu 1970-01-01 01:00:00 CET,36.0133,831,3183,269,116.340004,445.619995,37.660000,-13,-27,1344,-9.516000,-19.764000,983.807983,109,50,43,7630.000000,3500.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,37.0131,876,3256,335,122.639999,455.839996,46.900002,-16,-27,1349,-11.712000,-19.764000,987.468018,106,44,44,7420.000000,3080.000000,3080.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,38.0096,835,3210,313,116.900002,449.399994,43.820000,-16,-34,1344,-11.712000,-24.888000,983.807983,109,49,42,7630.000000,3430.000000,2940.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,39.0126,827,3206,344,115.779999,448.839996,48.160000,-25,-26,1349,-18.299999,-19.032000,987.468018,111,48,47,7770.000000,3360.000000,3290.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,40.0137,858,3224,223,120.120003,451.360016,31.219999,-14,-23,1343,-10.248000,-16.836000,983.075989,115,51,46,8050.000000,3570.000000,3220.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,41.0133,824,3236,347,115.360001,453.040009,48.580002,-18,-29,1344,-13.176000,-21.228001,983.807983,110,47,43,7700.000000,3290.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,42.0132,818,3256,343,114.520004,455.839996,48.020000,-12,-28,1347,-8.784000,-20.496000,986.003967,111,44,40,7770.000000,3080.000000,2800.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,43.0133,865,3203,228,121.099998,448.420013,31.920000,-17,-30,1345,-12.444000,-21.959999,984.539978,107,50,43,7490.000000,3500.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,44.0134,881,3258,291,123.340004,456.119995,40.740002,-10,-31,1344,-7.320000,-22.691999,983.807983,108,50,43,7560.000000,3500.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,45.0136,847,3216,246,118.580002,450.239990,34.439999,-12,-28,1344,-8.784000,-20.496000,983.807983,111,49,46,7770.000000,3430.000000,3220.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,46.0145,833,3281,296,116.620003,459.339996,41.439999,-13,-26,1347,-9.516000,-19.032000,986.003967,110,48,41,7700.000000,3360.000000,2870.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,47.0132,877,3270,304,122.779999,457.799988,42.560001,-16,-24,1346,-11.712000,-17.568001,985.271973,107,45,43,7490.000000,3150.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,48.0134,905,3217,302,126.699997,450.380005,42.279999,-20,-27,1349,-14.639999,-19.764000,987.468018,107,49,42,7490.000000,3430.000000,2940.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,49.014,835,3253,292,116.900002,455.420013,40.880001,-20,-34,1347,-14.639999,-24.888000,986.003967,105,51,44,7350.000000,3570.000000,3080.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,50.0127,862,3250,276,120.680000,455.000000,38.639999,-17,-26,1349,-12.444000,-19.032000,987.468018,110,51,44,7700.000000,3570.000000,3080.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,51.0098,846,3224,337,118.440002,451.360016,47.180000,-14,-27,1346,-10.248000,-19.764000,985.271973,108,49,46,7560.000000,3430.000000,3220.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,52.0119,888,3230,285,124.320000,452.200012,39.900002,-16,-25,1347,-11.712000,-18.299999,986.003967,111,48,42,7770.000000,3360.000000,2940.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,53.0152,875,3264,329,122.500000,456.959991,46.060001,-18,-24,1342,-13.176000,-17.568001,982.343994,108,50,43,7560.000000,3500.000000,3010.000000,173,35.559082
