HTL state;Time GPS;Mission time;heater-HTL;Time GPS;Mission time;heater-anemometer
A1;Fri 2021-07-16 07:29:17 CEST;67.1141;1.322314;Fri 2021-07-16 07:29:17 CEST;67.1141;0.8
A1;Fri 2021-07-16 07:29:18 CEST;68.1141;1.322314;Fri 2021-07-16 07:29:18 CEST;68.1141;0.8
A1;Fri 2021-07-16 07:29:18 CEST;69.1142;1.322314;Fri 2021-07-16 07:29:18 CEST;69.1142;0.8
A1;Fri 2021-07-16 07:29:19 CEST;70.1142;1.322314;Fri 2021-07-16 07:29:19 CEST;70.1142;0.8
A1;Fri 2021-07-16 07:29:19 CEST;71.116;1.322314;Fri 2021-07-16 07:29:19 CEST;71.116;0.8
A1;Fri 2021-07-16 07:29:20 CEST;72.114;1.322314;Fri 2021-07-16 07:29:20 CEST;72.114;0.8
A1;Fri 2021-07-16 07:29:20 CEST;73.1142;1.322314;Fri 2021-07-16 07:29:20 CEST;73.1142;0.8
A1;Fri 2021-07-16 07:29:21 CEST;74.1146;1.322314;Fri 2021-07-16 07:29:21 CEST;74.1146;0.8
A1;Fri 2021-07-16 07:29:21 CEST;75.1141;1.322314;Fri 2021-07-16 07:29:21 CEST;75.1141;0.8
A1;Fri 2021-07-16 07:29:22 CEST;76.1148;1.322314;Fri 2021-07-16 07:29:22 CEST;76.1148;0.8
A1;Fri 2021-07-16 07:29:22 CEST;77.114;1.322314;Fri 2021-07-16 07:29:22 CEST;77.114;0.8
A1;Fri 2021-07-16 07:29:23 CEST;78.114;1.322314;Fri 2021-07-16 07:29:23 CEST;78.1141;0.8
A1;Fri 2021-07-16 07:29:23 CEST;79.1142;1.322314;Fri 2021-07-16 07:29:23 CEST;79.1142;0.8
A1;Fri 2021-07-16 07:29:24 CEST;80.116;1.322314;Fri 2021-07-16 07:29:24 CEST;80.116;0.8
A1;Fri 2021-07-16 07:29:24 CEST;81.1142;1.322314;Fri 2021-07-16 07:29:24 CEST;81.1142;0.8
A1;Fri 2021-07-16 07:29:25 CEST;82.114;1.322314;Fri 2021-07-16 07:29:25 CEST;82.114;0.8
A1;Fri 2021-07-16 07:29:25 CEST;83.1142;1.322314;Fri 2021-07-16 07:29:25 CEST;83.1142;0.8
