HTL state,Time GPS,Mission time,TC74-0,TC74-1,TC74-2,TC74-3,TC74-4
A1,Fri 2021-07-16 07:29:22 CEST,77.614514,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:23 CEST,78.864528,15.500000,15.500000,16.500000,14.500000,13.500000
A1,Fri 2021-07-16 07:29:24 CEST,80.118006,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:24 CEST,80.118006,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:24 CEST,81.364557,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:25 CEST,82.614555,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:25 CEST,83.864499,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:26 CEST,85.116317,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:26 CEST,85.116317,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:27 CEST,86.364535,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:27 CEST,87.614525,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:28 CEST,88.864041,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:29 CEST,90.116050,15.500000,15.500000,16.500000,15.500000,14.500000
A1,Fri 2021-07-16 07:29:29 CEST,90.116050,15.500000,15.500000,16.500000,15.500000,14.500000
A1,Fri 2021-07-16 07:29:29 CEST,91.364532,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:30 CEST,92.614478,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:30 CEST,93.864442,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:31 CEST,95.116184,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:31 CEST,95.116184,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:32 CEST,96.364504,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:32 CEST,97.614572,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:33 CEST,98.864540,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:34 CEST,100.116121,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:34 CEST,100.116121,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:34 CEST,101.363598,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:35 CEST,102.614010,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:35 CEST,103.864508,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:36 CEST,105.116284,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:36 CEST,105.116284,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:37 CEST,106.364555,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:37 CEST,107.614570,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:38 CEST,108.864602,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:39 CEST,110.116025,15.500000,15.500000,16.500000,15.500000,13.500000
A1,Fri 2021-07-16 07:29:39 CEST,110.116025,15.500000,15.500000,16.500000,15.500000,13.500000
